Country (Col. 1),Year (Col. 2),Private Cars (Col. 3),Buses & Coaches (Col. 4),Goods Vehicles (Col. 5),Motor Cycles & Scooters (Col. 6),Mopeds (Col. 7),Note of Private Cars,Note of Buses & Coaches,Note of Goods Vehicles,Note of Motor Cycles & Scooters,Note of Mopeds
Australia,1969,371108,NA,53488,NA,NA,(a),(d),NA,NA,NA
Australia,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,1969,1140,168,4104,4284,139200,NA,NA,NA,(b),NA
Austria,1970,1176,180,1632,7044,161748,NA,NA,NA,(b),NA
Canada,1969,1035551,317348,NA,NA,NA,NA,NA,( c),NA,NA
Canada,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceylon,1969,152,NA,81,322,39,NA,NA,NA,NA,NA
Ceylon,1970,522,NA,40,879,38,NA,NA,NA,NA,NA
Czechoslovakia,1969,132409,2527,23646,133337,60554,NA,NA,NA,NA,NA
Czechoslovakia,1970,142856,2602,24462,107756,84290,NA,NA,NA,NA,NA
France,1969,2168462,3124,287486,3375,1141399,NA,NA,NA,NA,NA
France,1970,2458038,3108,288940,4292,1102498,NA,NA,NA,NA,NA
West Germany*,1969,3312539,12713,268412,54296,129499,(e),NA,(f),NA,NA
West Germany,1970,3527864,14692,285280,70123,142598,(e),NA,(f),NA,NA
Great Britain,1969,1717100,23300,442400,66200,4900,(g),NA,(h),(i),NA
Great Britain,1970,1640966,23234,434298,NA,NA,(g),NA,(h),NA,NA
Italy,1969,1477366,2838,115747,196300,580000,NA,NA,NA,(a),NA
Italy,1970,1719715,3034,131503,219220,560000,NA,NA,NA,(a),NA
Japan,1969,2611499,41842,2038673,2576873,NA,NA,NA,(i),NA,(j)
Japan,1970,3178708,46566,2077944,2947617,NA,NA,NA,(i),NA,(j)
Poland,1969,50200,5100,46800,11500,85500,NA,NA,(e),NA,NA
Poland,1970,67900,5200,46200,95100,85200,NA,NA,(e),NA,NA
USA,1969,8224392,NA,1981519,NA,NA,NA,(d),NA,NA,NA
USA,1970,6550128,NA,2018859,NA,NA,NA,(d),NA,NA,NA
