Country (Col. 1),Year (Col. 2),Four-plus wheels - Cars (Col. 3),Four-plus wheels - Buses & Coaches (Col. 4),Four-plus wheels - Goods Vehicles (Col. 5),Four-plus wheels - Tractors (excluding agricultural tractors) (Col. 6),Four-plus wheels - Total Cols. (3) to (6) (Col. 7),Two wheels - Motor Cycles & Scooters (Col. 8),Two wheels - Mopeds (Col. 9),Two wheels - Total cols. (8) & (9) (Col. 10),Trailers (Col. 11),Semi-Trailers (Col. 12),Carven Trailers (Col. 13),Note of Four-plus wheels - Cars,Note of Four-plus wheels - Buses & Coaches,Note of Four-plus wheels - Goods Vehicles,Note of Four-plus wheels - Tractors (excluding agricultural tractors),Note of Four-plus wheels - Total Cols. (3) to (6),Note of Two wheels - Motor Cycles & Scooters,Note of Two wheels - Mopeds,Note of Semi-Trailers,Note of Carven Trailers
Australia,1969,3611164,NA,936173,NA,4547337,108739,NA,108739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,1969,1124183,6617,112958,240362,1484117,126802,484069,610871,85166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austria,1970,1196584,6807,120857,250381,1574629,113133,482945,596078,89199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,1969,6433283,NA,1682515,NA,8115798,138362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,1970,670000,NA,1800000,NA,8500000,150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceylon,1969,86520,9687,31197,1207,128611,18994,NA,NA,2808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceylon,1970,87344,10367,32952,1212,131875,20014,NA,NA,2812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Czechoslovakia,1969,651625,18160,173999,143590,987293,900392,NA,NA,229331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Czechoslovakia,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1969,11860000,35000,1766000,49000,13710000,280000,5550000,5750000,349000,82000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,1970,12470000,35000,1810000,55000,14370000,300000,5550000,5780000,431000,94000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Germany,1969,13168560,45480,1083612,86233,14383885,242106,1000000,1242000,414266,35742,15258,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Germany,1970,14376484,48242,1143565,95204,15663495,208833,1000000,1209000,434250,39968,179583,NA,NA,NA,NA,NA,NA,NA,NA,NA
Great Britain,1969,11250000,79000,1564000,6000,12899000,767000,455000,1222000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Great Britain,1970,11541000,78000,1621000,5000,13245000,699000,443000,1142000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1969,9028400,37504,885210,11450,9962564,1695000,2040000,3735000,88095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,1970,10200000,33000,914000,13000,11277000,1200000,2100000,3350000,104000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,1969,6933737,170137,8334573,5921,15444368,703959,8123378,8827337,18945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,1970,8778975,187980,8850493,8383,17825777,737647,8159171,8896818,23079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,1969,31451,31451,248004,67525,1736223,1736223,NA,NA,273868,11004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,1970,479354,33176,263004,68902,844436,1789394,NA,NA,310536,14922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,1969,89861000,364282,17870987,865858,108962127,2315916,NA,NA,278777,1528831,1683569,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
